"gss_cp;""gss_insee"";""gss_ville"";""str_nom_commercial"";""sregion_lib"";""scentre_lib"";""gri_nom"""
"75014;""75114"";""PARIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"75013;""75113"";""PARIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92000;""92050"";""NANTERRE"";""CIRCET"";""IDF"";""CIRCET ADETEL CENTRE"";""CIRCET ADETEL CENTRE"""
"75005;""75105"";""PARIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"75006;""75106"";""PARIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92190;""92048"";""MEUDON"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"92130;""92040"";""ISSY LES MOULINEAUX"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"92400;""92026"";""COURBEVOIE"";""CIRCET"";""IDF"";""CIRCET ADETEL CENTRE"";""CIRCET ADETEL CENTRE"""
"92800;""92062"";""PUTEAUX"";""CIRCET"";""IDF"";""CIRCET ADETEL CENTRE"";""CIRCET ADETEL CENTRE"""
"92600;""92004"";""ASNIERES SUR SEINE"";""CIRCET"";""IDF"";""CIRCET ADETEL NORD"";""CIRCET ADETEL NORD"""
"92170;""92075"";""VANVES"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"92320;""92020"";""CHATILLON"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"91120;""91477"";""PALAISEAU"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"92120;""92049"";""MONTROUGE"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"92250;""92035"";""LA GARENNE COLOMBES"";""CIRCET"";""IDF"";""CIRCET ADETEL NORD"";""CIRCET ADETEL NORD"""
"92110;""92024"";""CLICHY"";""CIRCET"";""IDF"";""CIRCET ADETEL NORD"";""CIRCET ADETEL NORD"""
"92420;""92076"";""VAUCRESSON"";""CIRCET"";""IDF"";""CIRCET ADETEL CENTRE"";""CIRCET ADETEL CENTRE"""
"85320;""85135"";""MAREUIL SUR LAY DISSAIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92260;""92032"";""FONTENAY AUX ROSES"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"92150;""92073"";""SURESNES"";""CIRCET"";""IDF"";""CIRCET ADETEL CENTRE"";""CIRCET ADETEL CENTRE"""
"75007;""75107"";""PARIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"91430;""91312"";""IGNY"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91300;""91377"";""MASSY"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91400;""91471"";""ORSAY"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"69002;""69382"";""LYON"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"91160;""91136"";""CHAMPLAN"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91330;""91691"";""YERRES"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"92390;""92078"";""VILLENEUVE LA GARENNE"";""CIRCET"";""IDF"";""CIRCET ADETEL NORD"";""CIRCET ADETEL NORD"""
"92210;""92064"";""ST CLOUD"";""CIRCET"";""IDF"";""CIRCET ADETEL CENTRE"";""CIRCET ADETEL CENTRE"""
"92230;""92036"";""GENNEVILLIERS"";""CIRCET"";""IDF"";""CIRCET ADETEL NORD"";""CIRCET ADETEL NORD"""
"91560;""91191"";""CROSNE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"92140;""92023"";""CLAMART"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"91800;""91114"";""BRUNOY"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"92500;""92063"";""RUEIL MALMAISON"";""CIRCET"";""IDF"";""CIRCET ADETEL CENTRE"";""CIRCET ADETEL CENTRE"""
"92160;""92002"";""ANTONY"";""CIRCET"";""IDF"";""CIRCET ADETEL SUD"";""CIRCET ADETEL SUD"""
"91270;""91657"";""VIGNEUX SUR SEINE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"92270;""92009"";""BOIS COLOMBES"";""CIRCET"";""IDF"";""CIRCET ADETEL NORD"";""CIRCET ADETEL NORD"""
"91800;""91097"";""BOUSSY ST ANTOINE"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
"91230;""91421"";""MONTGERON"";""CIRCET"";""IDF"";""CIRCET IDF"";""91"""
